Timestamp	Setpoint	Temperature	Error	Sum	ProportionalFactor	IntegralFactor	DerivativeFactor	Control	LastCurrentMeasurement
9518339	2430	2545	115	60100	11500	6010	0	17510	17410
518340	2430	2545	115	60100	11500	6010	0	17510	17406
1518338	2430	2544	114	60100	11400	6010	-1000	16410	17409
2518343	2430	2544	114	60100	11400	6010	0	17410	17311
3518343	2430	2544	114	60100	11400	6010	0	17410	17310
4518343	2430	2544	114	60100	11400	6010	0	17410	17311
5518344	2430	2544	114	60100	11400	6010	0	17410	17307
6518346	2430	2544	114	60100	11400	6010	0	17410	17306
7518347	2430	2544	114	60100	11400	6010	0	17410	17307
8518317	2430	2543	113	60100	11300	6010	-1000	16310	18301
9518324	2430	2543	113	60100	11300	6010	0	17310	17210
518325	2430	2543	113	60100	11300	6010	0	17310	17208
1518323	2430	2543	113	60100	11300	6010	0	17310	17210
2518323	2430	2543	113	60100	11300	6010	0	17310	17211
3518323	2430	2543	113	60100	11300	6010	0	17310	17212
4518324	2430	2543	113	60100	11300	6010	0	17310	17211
5518325	2430	2542	112	60100	11200	6010	0	17210	16117
6518326	2430	2542	112	60100	11200	6010	0	17210	17110
7518328	2430	2542	112	60100	11200	6010	0	17210	17110
8518329	2430	2542	112	60100	11200	6010	0	17210	17111
9518331	2430	2542	112	60100	11200	6010	0	17210	17110
518333	2430	2542	112	60100	11200	6010	0	17210	17112
1518331	2430	2542	112	60100	11200	6010	0	17210	17109
2518330	2430	2542	112	60100	11200	6010	0	17210	17112
3518330	2430	2541	111	60100	11100	6010	-1000	16110	17111
4518336	2430	2542	112	60100	11200	6010	1000	18210	17011
5518341	2430	2541	111	60100	11100	6010	0	17110	17016
6518343	2430	2541	111	60100	11100	6010	0	17110	17013
7518344	2430	2541	111	60100	11100	6010	0	17110	17013
8518346	2430	2541	111	60100	11100	6010	0	17110	17009
9518348	2430	2541	111	60100	11100	6010	0	17110	17008
518317	2430	2541	111	60100	11100	6010	0	17110	17010
1518347	2430	2541	111	60100	11100	6010	0	17110	17009
2518347	2430	2540	110	60100	11000	6010	-1000	16010	17015
